id,author
0910.5454v1,P. C. McGuire
0910.5454v1,C. Gross
0910.5454v1,L. Wendt
0910.5454v1,A. Bonnici
0910.5454v1,V. Souza-Egipsy
0910.5454v1,J. Ormo
0910.5454v1,E. Diaz-Martinez
0910.5454v1,B. H. Foing
0910.5454v1,R. Bose
0910.5454v1,S. Walter
0910.5454v1,M. Oesker
0910.5454v1,J. Ontrup
0910.5454v1,R. Haschke
0910.5454v1,H. Ritter
0910.5561v1,Dominik Janzing
0910.5561v1,Xiaohai Sun
0910.5561v1,Bernhard Schoelkopf
0910.5761v1,Jose Bento
0910.5761v1,Andrea Montanari
0911.0054v2,Sham M. Kakade
0911.0054v2,Ohad Shamir
0911.0054v2,Karthik Sridharan
0911.0054v2,Ambuj Tewari
0911.0280v1,Jonas Peters
0911.0280v1,Dominik Janzing
0911.0280v1,Bernhard Schölkopf
0911.0491v1,John Langford
0911.0491v1,Alexander Smola
0911.0491v1,Martin Zinkevich
0911.2888v1,L. Chaâri
0911.2888v1,J. -C. Pesquet
0911.2888v1,J. -Y. Tourneret
0911.2888v1,Ph. Ciuciu
0911.2888v1,A. Benazza-Benyahia
0911.2919v5,Philippe Rigollet
0911.3633v1,Benjamin I. P. Rubinstein
0911.3633v1,J. Hyam Rubinstein
0911.3944v1,Christopher M. White
0911.3944v1,Sanjeev P. Khudanpur
0911.3944v1,Patrick J. Wolfe
0911.4046v3,Ryota Tomioka
0911.4046v3,Taiji Suzuki
0911.4046v3,Masashi Sugiyama
0911.4397v1,Wolfgang Konen
0911.4397v1,Patrick Koch
0911.4511v1,Gowtham Bellala
0911.4511v1,Suresh Bhavnani
0911.4511v1,Clayton Scott
0911.4899v1,Zhiyi Chi
0911.5107v1,Mauricio A. Álvarez
0911.5107v1,Neil D. Lawrence
0911.5242v2,C. A. L. Bailer-Jones
0911.5367v2,Marco Cuturi
0911.5439v1,Ali Shojaie
0911.5439v1,George Michailidis
0911.5460v5,Yiyuan She
0911.5482v2,Natalia Bochkina
0911.5482v2,Ya'acov Ritov
0912.0171v2,Ngoc Duong
0912.0171v2,Emmanuel Vincent
0912.0171v2,Remi Gribonval
0912.0284v2,Laurent Bartholdi
0912.0284v2,Thomas Schick
0912.0284v2,Nat Smale
0912.0284v2,Steve Smale
0912.0284v2,Anthony W. Baker
0912.0874v2,Robert Hable
0912.0874v2,Andreas Christmann
0912.1064v1,Wolfgang Konen
0912.1072v2,Cameron E. Freer
0912.1072v2,Daniel M. Roy
0912.1128v1,David Baehrens
0912.1128v1,Timon Schroeter
0912.1128v1,Stefan Harmeling
0912.1128v1,Motoaki Kawanabe
0912.1128v1,Katja Hansen
0912.1128v1,Klaus-Robert Mueller
0912.1618v1,Stéphane Gaïffas
0912.1618v1,Guillaume Lecué
0912.2412v1,Stefan Haufe
0912.2412v1,Ryota Tomioka
0912.2412v1,Guido Nolte
0912.2412v1,Klaus-Robert Mueller
0912.2412v1,Motoaki Kawanabe
0912.2492v1,Hannes Nickisch
0912.2492v1,Pushmeet Kohli
0912.2492v1,Carsten Rother
0912.2695v2,Jianqing Fan
0912.2695v2,Yang Feng
0912.2695v2,Rui Song
0912.2800v1,Takafumi Kanamori
0912.2800v1,Taiji Suzuki
0912.2800v1,Masashi Sugiyama
0912.3211v1,Ilkka Huopaniemi
0912.3211v1,Tommi Suvitaival
0912.3211v1,Janne Nikkilä
0912.3211v1,Matej Orešič
0912.3211v1,Samuel Kaski
0912.3268v1,Mauricio A. Álvarez
0912.3268v1,David Luengo
0912.3268v1,Michalis K. Titsias
0912.3268v1,Neil D. Lawrence
0912.3301v1,Mark D. Reid
0912.3301v1,Robert C. Williamson
0912.3408v1,Markus Maier
0912.3408v1,Matthias Hein
0912.3408v1,Ulrike von Luxburg
0912.3604v2,Shie Mannor
0912.3604v2,Gilles Stoltz
0912.3648v3,Simón Lunagómez
0912.3648v3,Sayan Mukherjee
0912.3648v3,Robert L. Wolpert
0912.3648v3,Edoardo M. Airoldi
0912.4045v2,Shuheng Zhou
0912.5410v1,Anna Goldenberg
0912.5410v1,Alice X Zheng
0912.5410v1,Stephen E Fienberg
0912.5410v1,Edoardo M Airoldi
0912.5507v1,Jun Zhu
0912.5507v1,Amr Ahmed
0912.5507v1,Eric P. Xing
1001.0036v1,Robert Haslinger
1001.0036v1,Kristina Lisa Klinkner
1001.0036v1,Cosma Rohilla Shalizi
1001.0175v2,Iain Murray
1001.0175v2,Ryan Prescott Adams
1001.0175v2,David J. C. MacKay
1001.0160v2,Ryan Prescott Adams
1001.0160v2,Hanna M. Wallach
1001.0160v2,Zoubin Ghahramani
1001.0279v1,Raghunandan H. Keshavan
1001.0279v1,Andrea Montanari
1001.0597v2,XuanLong Nguyen
1001.1323v3,Ery Arias-Castro
1001.1323v3,Guangliang Chen
1001.1323v3,Gilad Lerman
1001.1557v2,Han Liu
1001.1557v2,Min Xu
1001.1557v2,Haijie Gu
1001.1557v2,Anupam Gupta
1001.1557v2,John Lafferty
1001.1557v2,Larry Wasserman
1001.1841v1,Ansgar Steland
1001.1841v1,Ewaryst Rafalowicz
1001.2615v1,Ryota Tomioka
1001.2615v1,Taiji Suzuki
1001.2753v2,P. S. Koutsourelakis
1001.2753v2,Elias Bilionis
1001.2813v1,Anthony Di Franco
1001.3109v1,Anne-Claire Haury
1001.3109v1,Laurent Jacob
1001.3109v1,Jean-Philippe Vert
1001.3355v3,Charles Sutton
1001.3355v3,Michael I. Jordan
1001.4019v1,Xiao Tang
1001.4019v1,Mu Zhu
1001.5311v2,Jarvis Haupt
1001.5311v2,Rui Castro
1001.5311v2,Robert Nowak
1002.0140v1,Aureli Alabert
1002.0140v1,Luz Ma. Rangel
1002.0747v3,Elchanan Mossel
1002.0747v3,Noah Olsman
1002.0747v3,Omer Tamuz
1002.0832v1,Andreas Maurer Massimiliano Pontil
1002.1247v1,Michael B. Wakin
1002.1994v3,Gilad Lerman
1002.1994v3,Teng Zhang
