"title","year","keyword"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"training "
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"data"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"mine"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"dnn"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"speech recognition"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"dnn"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"dnn"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"speech recognition"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"ai"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"dnn"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"training "
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"dnn"
"Building DNN Acoustic Models for Large Vocabulary Speech Recognition",2014,"dnn"
"First-Pass Large Vocabulary Continuous Speech Recognition using
  Bi-Directional Recurrent DNNs",2014,"vocabulary"
"First-Pass Large Vocabulary Continuous Speech Recognition using
  Bi-Directional Recurrent DNNs",2014,"speech recognition"
"First-Pass Large Vocabulary Continuous Speech Recognition using
  Bi-Directional Recurrent DNNs",2014,"acoustic models"
"First-Pass Large Vocabulary Continuous Speech Recognition using
  Bi-Directional Recurrent DNNs",2014,"speech recognition"
"First-Pass Large Vocabulary Continuous Speech Recognition using
  Bi-Directional Recurrent DNNs",2014,"ai"
"First-Pass Large Vocabulary Continuous Speech Recognition using
  Bi-Directional Recurrent DNNs",2014,"modeling"
"First-Pass Large Vocabulary Continuous Speech Recognition using
  Bi-Directional Recurrent DNNs",2014,"predict"
"First-Pass Large Vocabulary Continuous Speech Recognition using
  Bi-Directional Recurrent DNNs",2014,"ai"
"First-Pass Large Vocabulary Continuous Speech Recognition using
  Bi-Directional Recurrent DNNs",2014,"algorithm"
"First-Pass Large Vocabulary Continuous Speech Recognition using
  Bi-Directional Recurrent DNNs",2014,"speech recognition"
"First-Pass Large Vocabulary Continuous Speech Recognition using
  Bi-Directional Recurrent DNNs",2014,"ai"
