"title","author","genre","rating","img","numRater","type","price"
"The Library Book","Susan Orlean","History","4.2","https://images-na.ssl-images-amazon.com/images/I/91OME-jyFmL._AC_UL200_SR200,200_.jpg","484","Hardcover","16.8"
"Five Presidents","Clint Hill","History","4.6","https://images-na.ssl-images-amazon.com/images/I/81XDguZCJgL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","711","Kindle Edition","12.99"
"The First Conspiracy","Brad Meltzer","History","4.2","https://images-na.ssl-images-amazon.com/images/I/81r6B3kLu-L._AC_UL200_SR200,200_.jpg","171","Hardcover","17.99"
"Astrophysics for People in a Hurry","Neil deGrasse Tyson","History","4.6","https://images-na.ssl-images-amazon.com/images/I/91w70Ax2LhL._AC_UL200_SR200,200_.jpg","3800","Hardcover","13.26"
"Midnight in Chernobyl","Adam Higginbotham","History","4.6","https://images-na.ssl-images-amazon.com/images/I/81xhsJbTodL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","31","Kindle Edition","14.99"
"The Negro Motorist Green-Book","Victor H. Green","History","4.7","https://images-na.ssl-images-amazon.com/images/I/516SpHCQjPL._AC_UL200_SR200,200_.jpg","161","Paperback","8.09"
"Girl, Stop Apologizing","Rachel Hollis","Religion",NA,"https://images-na.ssl-images-amazon.com/images/I/91ILDdvFJ4L._AC_UL200_SR200,200_.jpg",NA,"Hardcover","14.99"
"Thief of Corinth","Tessa Afshar","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/910YjzYm4RL._AC_UL200_SR200,200_.jpg","107","Audible Audiobook"," Free with Audible trial"
"Girl, Stop Apologizing (Audible Exclusive Edition)","Rachel Hollis","Religion",NA,"https://images-na.ssl-images-amazon.com/images/I/91ypbCUbVEL._AC_UL200_SR200,200_.jpg",NA,"Audible Audiobook"," Free with Audible trial"
"Girl, Wash Your Face","Rachel Hollis","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/919fxlpMkyL._AC_UL200_SR200,200_.jpg","9513","Audible Audiobook"," Free with Audible trial"
"The Miracle Morning","Hal Elrod","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/81Qc3T3YIsL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","3460","Kindle Edition","9.97"
"Girl, Wash Your Face","Rachel Hollis","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/91ibhD5nhUL._AC_UL200_SR200,200_.jpg","9513","Hardcover","13.29"
"A World Full of Strangers","Cynthia Freeman","Religion","4.0","https://images-na.ssl-images-amazon.com/images/I/913qfmyyH8L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","53","Kindle Edition","1.99"
"The Life-Changing Magic of Tidying Up","Marie Kondo","Religion","4.4","https://images-na.ssl-images-amazon.com/images/I/81l4YLSx36L._AC_UL200_SR200,200_.jpg","13958","Hardcover","9.69"
"The 5 Love Languages","Gary Chapman","Religion","4.8","https://images-na.ssl-images-amazon.com/images/I/51ItBwnbJ6L._AC_UL200_SR200,200_.jpg","14160","Paperback","9.59"
"The Lost Girls of Paris","Pam Jenoff","Religion","4.3","https://images-na.ssl-images-amazon.com/images/I/81-ViX4-SwL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","238","Kindle Edition","9.99"
"The Tattooist of Auschwitz","Heather Morris","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/816xs8KtuEL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1291","Kindle Edition","11.99"
"Capital Gaines","Chip Gaines","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/819dCenkuML._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1070","Kindle Edition","9.99"
